mc	mn	quarterbeats	duration_qb	mc_onset	mn_onset	timesig	staff	voice	label	alt_label	globalkey	localkey	pedal	chord	special	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
1	0	0	1.5	0	3/8	2/4	2	1	G.I{		G	I		I		I						{	M	0	0	0, 4, 1		0	0
2	1	3/2	1.0	1/4	1/4	2/4	2	1	V6		G	I		V6		V		6					M	0	0	5, 2, 1		1	5
3	2	5/2	1.0	0	0	2/4	2	1	vi		G	I		vi		vi							m	0	0	3, 0, 4		3	3
3	2	7/2	1.0	1/4	1/4	2/4	2	1	IV		G	I		IV		IV							M	0	0	-1, 3, 0		-1	-1
4	3	9/2	0.5	0	0	2/4	2	1	I6		G	I		I6		I		6					M	0	0	4, 1, 0		0	4
4	3	5	0.5	1/8	1/8	2/4	2	1	vi		G	I		vi		vi							m	0	0	3, 0, 4		3	3
4	3	11/2	0.5	1/4	1/4	2/4	2	1	ii6		G	I		ii6		ii		6					m	0	0	-1, 3, 2		2	-1
4	3	6	0.5	3/8	3/8	2/4	2	1	V		G	I		V		V							M	0	0	1, 5, 2		1	1
5	4	13/2	2.0	0	0	2/4	2	1	I|PAC}		G	I		I		I					PAC	}	M	0	0	0, 4, 1		0	0
5	4	8	0.0	3/8	3/8	2/4	2	1	{		G	I										{		0	0				
6	5	17/2	2.0	0	0	2/4	2	1	IV64	I(64)	G	I		IV64		IV		64					M	0	0	0, -1, 3		-1	0
7	6	21/2	2.0	0	0	2/4	2	1	I		G	I		I		I							M	0	0	0, 4, 1		0	0
8	7	25/2	1.5	0	0	2/4	2	1	V65		G	I		V65		V		65					Mm7	0	0	5, 2, -1, 1		1	5
8	7	14	0.5	3/8	3/8	2/4	2	1	I		G	I		I		I							M	0	0	0, 4, 1		0	0
9	8	29/2	0.5	0	0	2/4	2	1	V(64)		G	I		V(64)		V			64				M	0	0	1, 0, 4		1	1
9	8	15	1.5	1/8	1/8	2/4	2	1	V|HC}		G	I		V		V					HC	}	M	0	0	1, 5, 2		1	1
10	9	33/2	1.0	0	0	2/4	2	1	V.I{		G	V		I		I						{	M	0	0	0, 4, 1		0	0
10	9	35/2	1.0	1/4	1/4	2/4	2	1	V		G	V		V		V							M	0	0	1, 5, 2		1	1
11	10	37/2	1.0	0	0	2/4	2	1	I		G	V		I		I							M	0	0	0, 4, 1		0	0
11	10	39/2	1.0	1/4	1/4	2/4	2	1	V		G	V		V		V							M	0	0	1, 5, 2		1	1
12	11	41/2	0.5	0	0	2/4	2	1	IV6		G	V		IV6		IV		6					M	0	0	3, 0, -1		-1	3
12	11	21	0.5	1/8	1/8	2/4	2	1	iii6		G	V		iii6		iii		6					m	0	0	1, 5, 4		4	1
12	11	43/2	0.5	1/4	1/4	2/4	2	1	ii6		G	V		ii6		ii		6					m	0	0	-1, 3, 2		2	-1
12	11	22	0.5	3/8	3/8	2/4	2	1	I6		G	V		I6		I		6					M	0	0	4, 1, 0		0	4
13	12	45/2	0.5	0	0	2/4	2	1	viio6		G	V		viio6		vii	o	6					o	0	0	2, -1, 5		5	2
13	12	23	0.5	1/8	1/8	2/4	2	1	I		G	V		I		I							M	0	0	0, 4, 1		0	0
13	12	47/2	1.0	1/4	1/4	2/4	2	1	V}		G	V		V		V						}	M	0	0	1, 5, 2		1	1
14	13	49/2	1.0	0	0	2/4	2	1	I{		G	V		I		I						{	M	0	0	0, 4, 1		0	0
14	13	51/2	1.0	1/4	1/4	2/4	2	1	V		G	V		V		V							M	0	0	1, 5, 2		1	1
15	14	53/2	1.0	0	0	2/4	2	1	I		G	V		I		I							M	0	0	0, 4, 1		0	0
15	14	55/2	1.0	1/4	1/4	2/4	2	1	V		G	V		V		V							M	0	0	1, 5, 2		1	1
16	15	57/2	0.5	0	0	2/4	2	1	IV6		G	V		IV6		IV		6					M	0	0	3, 0, -1		-1	3
16	15	29	0.5	1/8	1/8	2/4	2	1	I64		G	V		I64		I		64					M	0	0	1, 0, 4		0	1
16	15	59/2	0.5	1/4	1/4	2/4	2	1	IV		G	V		IV		IV							M	0	0	-1, 3, 0		-1	-1
16	15	30	0.5	3/8	3/8	2/4	2	1	I6		G	V		I6		I		6					M	0	0	4, 1, 0		0	4
17	16	61/2	0.5	0	0	2/4	2	1	viio6		G	V		viio6		vii	o	6					o	0	0	2, -1, 5		5	2
17	16	31	0.5	1/8	1/8	2/4	2	1	I		G	V		I		I							M	0	0	0, 4, 1		0	0
17	16	63/2	0.5	1/4	1/4	2/4	2	1	V6}		G	V		V6		V		6				}	M	0	0	5, 2, 1		1	5
17	16	32	0.5	3/8	3/8	2/4	2	1	V7		G	V		V7		V		7					Mm7	0	0	1, 5, 2, -1		1	1
17	16	129/4	0.0	7/16	7/16	2/4	2	1	{		G	V										{		0	0				
18	17	65/2	3.5	0	0	2/4	2	1	I		G	V		I		I							M	0	0	0, 4, 1		0	0
19	18	36	0.5	3/8	3/8	2/4	2	1	I6		G	V		I6		I		6					M	0	0	4, 1, 0		0	4
20	19	73/2	0.5	0	0	2/4	2	1	IV		G	V		IV		IV							M	0	0	-1, 3, 0		-1	-1
20	19	37	0.5	1/8	1/8	2/4	2	1	ii		G	V		ii		ii							m	0	0	2, -1, 3		2	2
20	19	75/2	0.5	1/4	1/4	2/4	2	1	V(64)		G	V		V(64)		V			64				M	0	0	1, 0, 4		1	1
20	19	38	0.5	3/8	3/8	2/4	2	1	V		G	V		V		V							M	0	0	1, 5, 2		1	1
21	20	77/2	3.5	0	0	2/4	2	1	I|IAC		G	V		I		I					IAC		M	0	0	0, 4, 1		0	0
22	21	42	0.5	3/8	3/8	2/4	2	1	I6		G	V		I6		I		6					M	0	0	4, 1, 0		0	4
23	22	85/2	0.5	0	0	2/4	2	1	IV		G	V		IV		IV							M	0	0	-1, 3, 0		-1	-1
23	22	43	0.5	1/8	1/8	2/4	2	1	ii		G	V		ii		ii							m	0	0	2, -1, 3		2	2
23	22	87/2	0.5	1/4	1/4	2/4	2	1	V(64)		G	V		V(64)		V			64				M	0	0	1, 0, 4		1	1
23	22	44	0.5	3/8	3/8	2/4	2	1	V		G	V		V		V							M	0	0	1, 5, 2		1	1
24	23	89/2	1.0	0	0	2/4	2	1	I(74)}		G	V		I(74)		I			74			}	M	0	0	0, -1, 1	5	0	0
24	23	91/2	0.5	1/4	1/4	2/4	2	1	I|PAC		G	V		I		I					PAC		M	0	0	0, 4, 1		0	0
25	23	46	1.5	0	3/8	2/4	2	1	I.I/V{		G	I		I/V		I				V		{	M	0	0	1, 5, 2		1	1
26	24	95/2	1.0	1/4	1/4	2/4	2	1	V6/V		G	I		V6/V		V		6		V			M	0	0	6, 3, 2		2	6
27	25	97/2	1.0	0	0	2/4	2	1	vi/V		G	I		vi/V		vi				V			m	0	0	4, 1, 5		4	4
27	25	99/2	1.0	1/4	1/4	2/4	2	1	IV/V		G	I		IV/V		IV				V			M	0	0	0, 4, 1		0	0
28	26	101/2	0.5	0	0	2/4	2	1	I6/V		G	I		I6/V		I		6		V			M	0	0	5, 2, 1		1	5
28	26	51	0.5	1/8	1/8	2/4	2	1	vi/V		G	I		vi/V		vi				V			m	0	0	4, 1, 5		4	4
28	26	103/2	0.5	1/4	1/4	2/4	2	1	ii6/V		G	I		ii6/V		ii		6		V			m	0	0	0, 4, 3		3	0
28	26	52	0.5	3/8	3/8	2/4	2	1	V/V		G	I		V/V		V				V			M	0	0	2, 6, 3		2	2
29	27	105/2	1.0	0	0	2/4	2	1	I/V|PAC}		G	I		I/V		I				V	PAC	}	M	0	0	1, 5, 2		1	1
