mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	timesig	staff	voice	label	alt_label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
1	1	0	0	1.0	0	0	2/4	2	1	G.I{		G	I		I	I						{	M	0	0	0, 4, 1		0	0
1	1	1	1	1.0	1/4	1/4	2/4	2	1	V6		G	I		V6	V		6					M	0	0	5, 2, 1		1	5
2	2	2	2	1.5	0	0	2/4	2	1	IV6		G	I		IV6	IV		6					M	0	0	3, 0, -1		-1	3
2	2	7/2	7/2	0.5	3/8	3/8	2/4	2	1	I64	iii6	G	I		I64	I		64					M	0	0	1, 0, 4		0	1
3	3	4	4	1.0	0	0	2/4	2	1	IV		G	I		IV	IV							M	0	0	-1, 3, 0		-1	-1
3	3	5	5	1.0	1/4	1/4	2/4	2	1	I6		G	I		I6	I		6					M	0	0	4, 1, 0		0	4
4	4	6	6	1.0	0	0	2/4	2	1	V43		G	I		V43	V		43					Mm7	0	0	2, -1, 1, 5		1	2
4	4	7	7	1.0	1/4	1/4	2/4	2	1	I		G	I		I	I							M	0	0	0, 4, 1		0	0
5	5	8	8	2.0	0	0	2/4	2	1	ii6		G	I		ii6	ii		6					m	0	0	-1, 3, 2		2	-1
6	6	10	10	1.0	0	0	2/4	2	1	V(4)		G	I		V(4)	V			4				M	0	0	1, 0, 2		1	1
6	6	11	11	0.5	1/4	1/4	2/4	2	1	V		G	I		V	V							M	0	0	1, 5, 2		1	1
6	6	23/2	23/2	0.5	3/8	3/8	2/4	2	1	vi		G	I		vi	vi							m	0	0	3, 0, 4		3	3
7	7	12	12	1.5	0	0	2/4	2	1	V7		G	I		V7	V		7					Mm7	0	0	1, 5, 2, -1		1	1
7	7	27/2	27/2	0.5	3/8	3/8	2/4	2	1	I		G	I		I	I							M	0	0	0, 4, 1		0	0
8	8	14	14	4.0	0	0	2/4	2	1	V|HC}		G	I		V	V					HC	}	M	0	0	1, 5, 2		1	1
9	9	16	16	0.0	0	0	2/4	2	1	{		G	I									{		0	0				
10	10	18	18	1.0	0	0	2/4	2	1	viio6(2)/V		G	I		viio6(2)/V	vii	o	6	2	V			o	0	0	3, 0, 1		6	3
10	10	19	19	1.0	1/4	1/4	2/4	2	1	viio6/V		G	I		viio6/V	vii	o	6		V			o	0	0	3, 0, 6		6	3
11	11	20	20	2.0	0	0	2/4	2	1	V65		G	I		V65	V		65					Mm7	0	0	5, 2, -1, 1		1	5
12	12	22	22	1.0	0	0	2/4	2	1	I(4)		G	I		I(4)	I			4				M	0	0	0, -1, 1		0	0
12	12	23	23	1.0	1/4	1/4	2/4	2	1	I		G	I		I	I							M	0	0	0, 4, 1		0	0
13	13	24	24	2.0	0	0	2/4	2	1	I6		G	I		I6	I		6					M	0	0	4, 1, 0		0	4
14	14	26	26	1.0	0	0	2/4	2	1	ii6(6)		G	I		ii6(6)	ii		6	6				m	0	0	-1, 5, 2		2	-1
14	14	27	27	1.0	1/4	1/4	2/4	2	1	ii6		G	I		ii6	ii		6					m	0	0	-1, 3, 2		2	-1
15	15	28	28	1.0	0	0	2/4	2	1	V(64)		G	I		V(64)	V			64				M	0	0	1, 0, 4		1	1
15	15	29	29	1.0	1/4	1/4	2/4	2	1	V7		G	I		V7	V		7					Mm7	0	0	1, 5, 2, -1		1	1
16	16	30	30	1.0	0	0	2/4	2	1	I(74)		G	I		I(74)	I			74				M	0	0	0, -1, 1	5	0	0
16	16	31	31	2.0	1/4	1/4	2/4	2	1	I|PAC}		G	I		I	I					PAC	}	M	0	0	0, 4, 1		0	0
17	17	32	32	0.0	0	0	2/4	2	2	{		G	I									{		0	0				
17	17	33	33	1.0	1/4	1/4	2/4	2	1	V6		G	I		V6	V		6					M	0	0	5, 2, 1		1	5
18	18	34	34	1.5	0	0	2/4	2	1	IV6		G	I		IV6	IV		6					M	0	0	3, 0, -1		-1	3
18	18	71/2	71/2	0.5	3/8	3/8	2/4	2	1	iii6		G	I		iii6	iii		6					m	0	0	1, 5, 4		4	1
19	19	36	36	1.0	0	0	2/4	2	1	IV		G	I		IV	IV							M	0	0	-1, 3, 0		-1	-1
19	19	37	37	1.0	1/4	1/4	2/4	2	1	I6		G	I		I6	I		6					M	0	0	4, 1, 0		0	4
20	20	38	38	1.0	0	0	2/4	2	1	V43		G	I		V43	V		43					Mm7	0	0	2, -1, 1, 5		1	2
20	20	39	39	1.0	1/4	1/4	2/4	2	1	I		G	I		I	I							M	0	0	0, 4, 1		0	0
21	21	40	40	2.0	0	0	2/4	2	1	ii6		G	I		ii6	ii		6					m	0	0	-1, 3, 2		2	-1
22	22	42	42	1.5	0	0	2/4	2	1	V		G	I		V	V							M	0	0	1, 5, 2		1	1
22	22	87/2	87/2	0.5	3/8	3/8	2/4	2	1	V43/V		G	I		V43/V	V		43		V			Mm7	0	0	3, 0, 2, 6		2	3
23	23	44	44	1.5	0	0	2/4	2	1	V65		G	I		V65	V		65					Mm7	0	0	5, 2, -1, 1		1	5
23	23	91/2	91/2	0.5	3/8	3/8	2/4	2	1	I		G	I		I	I							M	0	0	0, 4, 1		0	0
24	24	46	46	4.0	0	0	2/4	2	1	V|HC}		G	I		V	V					HC	}	M	0	0	1, 5, 2		1	1
25	25	48	48	0.0	0	0	2/4	2	1	{		G	I									{		0	0				
26	26	50	50	2.0	0	0	2/4	2	1	viio6/V		G	I		viio6/V	vii	o	6		V			o	0	0	3, 0, 6		6	3
27	27	52	52	2.0	0	0	2/4	2	1	V65		G	I		V65	V		65					Mm7	0	0	5, 2, -1, 1		1	5
28	28	54	54	2.0	0	0	2/4	2	1	I		G	I		I	I							M	0	0	0, 4, 1		0	0
29	29	56	56	2.0	0	0	2/4	2	1	I6		G	I		I6	I		6					M	0	0	4, 1, 0		0	4
30	30	58	58	2.0	0	0	2/4	2	1	ii6		G	I		ii6	ii		6					m	0	0	-1, 3, 2		2	-1
31	31	60	60	1.0	0	0	2/4	2	1	V(64)		G	I		V(64)	V			64				M	0	0	1, 0, 4		1	1
31	31	61	61	1.0	1/4	1/4	2/4	2	1	V7		G	I		V7	V		7					Mm7	0	0	1, 5, 2, -1		1	1
32	32	62	62	3.0	0	0	2/4	2	1	I|PAC}		G	I		I	I					PAC	}	M	0	0	0, 4, 1		0	0
33	33	64	64	0.0	0	0	2/4	2	1	{		G	I									{		0	0				
33	33	65	65	1.0	1/4	1/4	2/4	2	1	V6		G	I		V6	V		6					M	0	0	5, 2, 1		1	5
34	34	66	66	1.0	0	0	2/4	2	1	IV6		G	I		IV6	IV		6					M	0	0	3, 0, -1		-1	3
34	34	67	67	1.0	1/4	1/4	2/4	2	1	I64		G	I		I64	I		64					M	0	0	1, 0, 4		0	1
35	35	68	68	1.0	0	0	2/4	2	1	IV		G	I		IV	IV							M	0	0	-1, 3, 0		-1	-1
35	35	69	69	1.0	1/4	1/4	2/4	2	1	I6		G	I		I6	I		6					M	0	0	4, 1, 0		0	4
36	36	70	70	1.0	0	0	2/4	2	1	viio6		G	I		viio6	vii	o	6					o	0	0	2, -1, 5		5	2
