mc	mn	keysig	timesig	act_dur	mc_offset	volta	numbering_offset	dont_count	barline	breaks	repeats	next
1	0	4	2/4	1/4	1/4			1			firstMeasure	2
2	1	4	2/4	1/2	0							3
3	2	4	2/4	1/2	0							4
4	3	4	2/4	1/2	0							5
5	4	4	2/4	1/2	0							6
6	5	4	2/4	1/2	0							7
7	6	4	2/4	1/2	0							8
8	7	4	2/4	1/2	0							9
9	8	4	2/4	1/4	0						end	1, 10
10	8	4	2/4	1/4	1/4			1			start	11
11	9	4	2/4	1/2	0							12
12	10	4	2/4	1/2	0							13
13	11	4	2/4	1/2	0							14
14	12	4	2/4	1/2	0							15
15	13	4	2/4	1/2	0							16
16	14	4	2/4	1/2	0							17
17	15	4	2/4	1/2	0							18
18	16	4	2/4	1/2	0							19
19	17	4	2/4	1/2	0							20
20	18	4	2/4	1/2	0							21
21	19	4	2/4	1/2	0							22
22	20	4	2/4	1/2	0							23
23	21	4	2/4	1/2	0							24
24	22	4	2/4	1/2	0							25
25	23	4	2/4	1/2	0							26
26	24	4	2/4	1/2	0							27
27	25	4	2/4	1/2	0							28
28	26	4	2/4	1/2	0							29
29	27	4	2/4	1/2	0							30
30	28	4	2/4	1/2	0							31
31	29	4	2/4	1/2	0							32
32	30	4	2/4	1/2	0							33
33	31	4	2/4	1/2	0							34
34	32	4	2/4	1/2	0							35
35	33	4	2/4	1/2	0							36
36	34	4	2/4	1/2	0							37
37	35	4	2/4	1/2	0							38
38	36	4	2/4	1/2	0							39
39	37	4	2/4	1/2	0							40
40	38	1	2/4	1/2	0							41
41	39	1	2/4	1/2	0							42
42	40	1	2/4	1/2	0							43
43	41	1	2/4	1/2	0							44
44	42	1	2/4	1/2	0							45
45	43	1	2/4	1/2	0							46
46	44	1	2/4	1/2	0							47
47	45	1	2/4	1/2	0							48
48	46	1	2/4	1/2	0							49
49	47	1	2/4	1/2	0							50
50	48	1	2/4	1/2	0							51
51	49	1	2/4	1/2	0							52
52	50	1	2/4	1/2	0							53
53	51	1	2/4	1/2	0							54
54	52	1	2/4	1/2	0							55
55	53	1	2/4	1/2	0							56
56	54	1	2/4	1/2	0							57
57	55	1	2/4	1/2	0							58
58	56	1	2/4	1/2	0							59
59	57	4	2/4	1/2	0							60
60	58	4	2/4	1/2	0							61
61	59	4	2/4	1/2	0							62
62	60	4	2/4	1/2	0							63
63	61	4	2/4	1/2	0							64
64	62	4	2/4	1/2	0							65
65	63	4	2/4	1/2	0							66
66	64	4	2/4	1/2	0							67
67	65	4	2/4	1/2	0							68
68	66	4	2/4	1/2	0							69
69	67	4	2/4	1/2	0							70
70	68	4	2/4	1/2	0							71
71	69	4	2/4	1/2	0							72
72	70	4	2/4	1/2	0							73
73	71	4	2/4	1/2	0							74
74	72	4	2/4	1/2	0							75
75	73	4	2/4	1/2	0							76
76	74	4	2/4	1/2	0							77
77	75	4	2/4	1/2	0							78
78	76	4	2/4	1/2	0							79
79	77	4	2/4	1/2	0							80
80	78	4	2/4	1/2	0							81
81	79	4	2/4	1/2	0							82
82	80	4	2/4	1/2	0							83
83	81	4	2/4	1/2	0							84
84	82	4	2/4	1/2	0							85
85	83	4	2/4	1/2	0							86
86	84	4	2/4	1/2	0							87
87	85	4	2/4	1/2	0							88
88	86	4	2/4	1/2	0							89
89	87	4	2/4	1/2	0							90
90	88	4	2/4	1/2	0							91
91	89	4	2/4	1/2	0							92
92	90	4	2/4	1/2	0							93
93	91	4	2/4	1/2	0							94
94	92	4	2/4	1/2	0							95
95	93	4	2/4	1/2	0							96
96	94	4	2/4	1/2	0							97
97	95	4	2/4	1/2	0							98
98	96	4	2/4	1/2	0							99
99	97	4	2/4	1/2	0							100
100	98	4	2/4	1/2	0							101
101	99	4	2/4	1/2	0							102
102	100	4	2/4	1/2	0							103
103	101	4	2/4	1/2	0							104
104	102	4	2/4	1/2	0						end	10, -1
