mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	tied	tpc	midi	name	octave	chord_id
1	1	0	0	0.3333333333333333	0	0	3/4	2	1	1/12		1/8	2/3		3	57	A3	3	10
1	1	0	0	0.3333333333333333	0	0	3/4	1	1	1/12		1/8	2/3		7	61	C#4	4	0
1	1	0	0	3.0	0	0	3/4	1	2	3/4		1/2	3/2	1	4	76	E5	5	9
1	1	1/3	1/3	0.3333333333333333	1/12	1/12	3/4	2	1	1/12		1/8	2/3		7	61	C#4	4	11
1	1	1/3	1/3	0.3333333333333333	1/12	1/12	3/4	1	1	1/12		1/8	2/3		4	64	E4	4	1
1	1	2/3	2/3	0.3333333333333333	1/6	1/6	3/4	2	1	1/12		1/8	2/3		5	59	B3	3	12
1	1	2/3	2/3	0.3333333333333333	1/6	1/6	3/4	1	1	1/12		1/8	2/3		2	62	D4	4	2
1	1	1	1	0.3333333333333333	1/4	1/4	3/4	2	1	1/12		1/8	2/3		3	57	A3	3	13
1	1	1	1	0.3333333333333333	1/4	1/4	3/4	1	1	1/12		1/8	2/3		7	61	C#4	4	3
1	1	4/3	4/3	0.3333333333333333	1/3	1/3	3/4	2	1	1/12		1/8	2/3		7	61	C#4	4	14
1	1	4/3	4/3	0.3333333333333333	1/3	1/3	3/4	1	1	1/12		1/8	2/3		4	64	E4	4	4
1	1	5/3	5/3	0.3333333333333333	5/12	5/12	3/4	2	1	1/12		1/8	2/3		5	59	B3	3	15
1	1	5/3	5/3	0.3333333333333333	5/12	5/12	3/4	1	1	1/12		1/8	2/3		2	62	D4	4	5
1	1	2	2	0.3333333333333333	1/2	1/2	3/4	2	1	1/12		1/8	2/3		3	57	A3	3	16
1	1	2	2	0.3333333333333333	1/2	1/2	3/4	1	1	1/12		1/8	2/3		7	61	C#4	4	6
1	1	7/3	7/3	0.3333333333333333	7/12	7/12	3/4	2	1	1/12		1/8	2/3		4	64	E4	4	17
1	1	7/3	7/3	0.3333333333333333	7/12	7/12	3/4	1	1	1/12		1/8	2/3		3	69	A4	4	7
1	1	8/3	8/3	0.3333333333333333	2/3	2/3	3/4	2	1	1/12		1/8	2/3		7	61	C#4	4	18
1	1	8/3	8/3	0.3333333333333333	2/3	2/3	3/4	1	1	1/12		1/8	2/3		4	64	E4	4	8
2	2	3	3	0.3333333333333333	0	0	3/4	2	1	1/12		1/8	2/3		5	59	B3	3	29
2	2	3	3	0.3333333333333333	0	0	3/4	1	1	1/12		1/8	2/3		2	62	D4	4	19
2	2	3	3	3.0	0	0	3/4	1	2	3/4		1/2	3/2	0	4	76	E5	5	28
2	2	10/3	10/3	0.3333333333333333	1/12	1/12	3/4	2	1	1/12		1/8	2/3		5	59	B3	3	30
2	2	10/3	10/3	0.3333333333333333	1/12	1/12	3/4	1	1	1/12		1/8	2/3		2	62	D4	4	20
2	2	11/3	11/3	0.3333333333333333	1/6	1/6	3/4	2	1	1/12		1/8	2/3		3	57	A3	3	31
2	2	11/3	11/3	0.3333333333333333	1/6	1/6	3/4	1	1	1/12		1/8	2/3		7	61	C#4	4	21
2	2	4	4	0.3333333333333333	1/4	1/4	3/4	2	1	1/12		1/8	2/3		8	56	G#3	3	32
2	2	4	4	0.3333333333333333	1/4	1/4	3/4	1	1	1/12		1/8	2/3		5	59	B3	3	22
2	2	13/3	13/3	0.3333333333333333	1/3	1/3	3/4	2	1	1/12		1/8	2/3		5	59	B3	3	33
2	2	13/3	13/3	0.3333333333333333	1/3	1/3	3/4	1	1	1/12		1/8	2/3		2	62	D4	4	23
2	2	14/3	14/3	0.3333333333333333	5/12	5/12	3/4	2	1	1/12		1/8	2/3		3	57	A3	3	34
2	2	14/3	14/3	0.3333333333333333	5/12	5/12	3/4	1	1	1/12		1/8	2/3		7	61	C#4	4	24
2	2	5	5	0.3333333333333333	1/2	1/2	3/4	2	1	1/12		1/8	2/3		8	56	G#3	3	35
2	2	5	5	0.3333333333333333	1/2	1/2	3/4	1	1	1/12		1/8	2/3		5	59	B3	3	25
2	2	16/3	16/3	0.3333333333333333	7/12	7/12	3/4	2	1	1/12		1/8	2/3		2	62	D4	4	36
2	2	16/3	16/3	0.3333333333333333	7/12	7/12	3/4	1	1	1/12		1/8	2/3		5	71	B4	4	26
2	2	17/3	17/3	0.3333333333333333	2/3	2/3	3/4	2	1	1/12		1/8	2/3		5	59	B3	3	37
2	2	17/3	17/3	0.3333333333333333	2/3	2/3	3/4	1	1	1/12		1/8	2/3		8	68	G#4	4	27
3	3	6	6	0.3333333333333333	0	0	3/4	2	1	1/12		1/8	2/3		3	57	A3	3	46
3	3	6	6	0.75	0	0	3/4	1	2	3/16		1/8	3/2	-1	4	76	E5	5	38
3	3	19/3	19/3	0.3333333333333333	1/12	1/12	3/4	2	1	1/12		1/8	2/3		7	61	C#4	4	47
3	3	20/3	20/3	0.3333333333333333	1/6	1/6	3/4	2	1	1/12		1/8	2/3		4	64	E4	4	48
3	3	27/4	27/4	0.25	3/16	3/16	3/4	1	2	1/16		1/16	1		3	81	A5	5	39
3	3	7	7	0.0	1/4	1/4	3/4	1	2	0	grace16	1/16	1		8	80	G#5	5	40
3	3	7	7	0.0	1/4	1/4	3/4	1	2	0	grace16	1/16	1		3	81	A5	5	41
3	3	7	7	0.0	1/4	1/4	3/4	1	2	0	grace16	1/16	1		5	83	B5	5	42
3	3	7	7	0.3333333333333333	1/4	1/4	3/4	2	1	1/12		1/8	2/3		3	57	A3	3	49
3	3	7	7	1.5	1/4	1/4	3/4	1	2	3/8		1/4	3/2		3	81	A5	5	43
3	3	22/3	22/3	0.3333333333333333	1/3	1/3	3/4	2	1	1/12		1/8	2/3		7	61	C#4	4	50
3	3	23/3	23/3	0.3333333333333333	5/12	5/12	3/4	2	1	1/12		1/8	2/3		4	64	E4	4	51
3	3	8	8	0.3333333333333333	1/2	1/2	3/4	2	1	1/12		1/8	2/3		3	57	A3	3	52
