mc	mn	mc_onset	mn_onset	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	tied	tpc	midi	volta	chord_id
1	0	0	11/8	12/8	1	1	1/8		1/8	1		-1	77		0
2	1	0	0	12/8	2	1	3/8		1/4	3/2		-2	34		13
2	1	0	0	12/8	2	1	3/8		1/4	3/2		-2	46		13
2	1	0	0	12/8	1	1	1/8		1/8	1		-2	82		1
2	1	1/8	1/8	12/8	1	1	1/8		1/8	1		-1	77		2
2	1	1/4	1/4	12/8	1	1	1/8		1/8	1		2	74		3
2	1	3/8	3/8	12/8	1	1	1/8		1/8	1		-1	77		4
2	1	1/2	1/2	12/8	1	1	1/8		1/8	1		2	74		5
2	1	5/8	5/8	12/8	1	1	1/8		1/8	1		-2	70		6
2	1	3/4	3/4	12/8	1	1	1/8		1/8	1		2	74		7
2	1	7/8	7/8	12/8	1	1	1/8		1/8	1		-2	70		8
2	1	1	1	12/8	1	1	1/8		1/8	1		-1	65		9
2	1	9/8	9/8	12/8	1	1	1/8		1/8	1		-2	70		10
2	1	5/4	5/4	12/8	1	1	1/8		1/8	1		-1	65		11
2	1	11/8	11/8	12/8	1	1	1/8		1/8	1		2	62		12
3	2	0	0	12/8	1	1	1/8		1/8	1		-1	65		14
3	2	1/8	1/8	12/8	1	1	1/8		1/8	1		2	62		15
3	2	1/4	1/4	12/8	1	1	1/8		1/8	1		-2	58		16
3	2	3/8	3/8	12/8	2	1	3/8		1/4	3/2		-2	46		26
3	2	3/8	3/8	12/8	1	1	1/8		1/8	1		-1	53		17
3	2	1/2	1/2	12/8	1	1	1/8		1/8	1		-2	58		18
3	2	5/8	5/8	12/8	1	1	1/8		1/8	1		2	62		19
3	2	3/4	3/4	12/8	2	1	3/8		1/4	3/2		3	45		27
3	2	3/4	3/4	12/8	1	1	1/8		1/8	1		-1	53		20
3	2	7/8	7/8	12/8	1	1	1/8		1/8	1		3	57		21
3	2	1	1	12/8	1	1	1/8		1/8	1		0	60		22
3	2	9/8	9/8	12/8	2	1	3/8		1/4	3/2		-1	41		28
3	2	9/8	9/8	12/8	1	1	1/8		1/8	1		3	57		23
3	2	5/4	5/4	12/8	1	1	1/8		1/8	1		0	60		24
3	2	11/8	11/8	12/8	1	1	1/8		1/8	1		-3	63		25
4	3	0	0	12/8	2	1	3/8		1/4	3/2		-2	34		41
4	3	0	0	12/8	2	1	3/8		1/4	3/2		-2	46		41
4	3	0	0	12/8	1	1	1/8		1/8	1		-2	58		29
4	3	1/8	1/8	12/8	1	1	1/8		1/8	1		2	62		30
4	3	1/4	1/4	12/8	1	1	1/8		1/8	1		-1	65		31
4	3	3/8	3/8	12/8	1	1	1/8		1/8	1		2	62		32
4	3	1/2	1/2	12/8	1	1	1/8		1/8	1		-1	65		33
4	3	5/8	5/8	12/8	1	1	1/8		1/8	1		-2	70		34
4	3	3/4	3/4	12/8	1	1	1/8		1/8	1		-1	65		35
4	3	7/8	7/8	12/8	1	1	1/8		1/8	1		-2	70		36
4	3	1	1	12/8	1	1	1/8		1/8	1		2	74		37
4	3	9/8	9/8	12/8	1	1	1/8		1/8	1		-2	70		38
4	3	5/4	5/4	12/8	1	1	1/8		1/8	1		2	74		39
4	3	11/8	11/8	12/8	1	1	1/8		1/8	1		-1	77		40
5	4	0	0	12/8	1	1	1/8		1/8	1		2	74		42
5	4	1/8	1/8	12/8	1	1	1/8		1/8	1		-1	77		43
5	4	1/4	1/4	12/8	1	1	1/8		1/8	1		-2	82		44
5	4	3/8	3/8	12/8	2	1	3/8		1/4	3/2		-2	46		54
5	4	3/8	3/8	12/8	2	1	3/8		1/4	3/2		-2	58		54
5	4	3/8	3/8	12/8	1	1	1/8		1/8	1		-2	70		45
5	4	1/2	1/2	12/8	1	1	1/8		1/8	1		2	74		46
5	4	5/8	5/8	12/8	1	1	1/8		1/8	1		-1	77		47
5	4	3/4	3/4	12/8	2	1	3/8		1/4	3/2		3	45		55
5	4	3/4	3/4	12/8	2	1	3/8		1/4	3/2		3	57		55
5	4	3/4	3/4	12/8	1	1	1/8		1/8	1		0	72		48
5	4	7/8	7/8	12/8	1	1	1/8		1/8	1		-3	75		49
5	4	1	1	12/8	1	1	1/8		1/8	1		-1	77		50
5	4	9/8	9/8	12/8	2	1	3/8		1/4	3/2		-1	41		56
5	4	9/8	9/8	12/8	2	1	3/8		1/4	3/2		-1	53		56
5	4	9/8	9/8	12/8	1	1	1/8		1/8	1		3	69		51
5	4	5/4	5/4	12/8	1	1	1/8		1/8	1		0	72		52
5	4	11/8	11/8	12/8	1	1	1/8		1/8	1		-3	75		53
6	5	0	0	12/8	2	1	3/8		1/4	3/2		-2	34		64
6	5	0	0	12/8	2	1	3/8		1/4	3/2		-2	46		64
6	5	0	0	12/8	1	1	1/8		1/8	1		2	74		57
6	5	1/8	1/8	12/8	1	1	1/8		1/8	1		-1	77		58
6	5	1/4	1/4	12/8	1	1	1/8		1/8	1		-3	75		59
6	5	3/8	3/8	12/8	1	1	1/8		1/8	1		2	74		60
6	5	1/2	1/2	12/8	1	1	1/8		1/8	1		0	72		61
6	5	5/8	5/8	12/8	1	1	1/8		1/8	1		-2	70		62
6	5	3/4	3/4	12/8	1	1	1/8		1/8	1		-3	75		63
6	5	3/4	3/4	12/8	1	1	1/8		1/8	1		1	79		63
6	5	7/8	7/8	12/8	2	1	1/8		1/8	1		-3	51		65
6	5	1	1	12/8	2	1	1/8		1/8	1		-1	53		66
6	5	9/8	9/8	12/8	2	1	1/8		1/8	1		1	55		67
6	5	5/4	5/4	12/8	2	1	1/8		1/8	1		3	57		68
6	5	11/8	11/8	12/8	2	1	1/8		1/8	1		-2	58		69
7	6	0	0	12/8	1	1	1/8		1/8	1		2	74		70
7	6	0	0	12/8	1	1	1/8		1/8	1		-1	77		70
7	6	1/8	1/8	12/8	2	1	1/8		1/8	1		-2	46		77
7	6	1/4	1/4	12/8	2	1	1/8		1/8	1		0	48		78
7	6	3/8	3/8	12/8	2	1	1/8		1/8	1		2	50		79
7	6	1/2	1/2	12/8	2	1	1/8		1/8	1		-3	51		80
7	6	5/8	5/8	12/8	2	1	1/8		1/8	1		-1	53		81
7	6	3/4	3/4	12/8	2	1	3/8		1/4	3/2		1	55		82
7	6	3/4	3/4	12/8	1	1	1/8		1/8	1		-3	75		71
7	6	7/8	7/8	12/8	1	1	1/8		1/8	1		2	74		72
7	6	1	1	12/8	1	1	1/8		1/8	1		0	72		73
7	6	9/8	9/8	12/8	2	1	3/8		1/4	3/2		3	57		83
7	6	9/8	9/8	12/8	1	1	1/8		1/8	1		1	79		74
7	6	5/4	5/4	12/8	1	1	1/8		1/8	1		-3	75		75
7	6	11/8	11/8	12/8	1	1	1/8		1/8	1		0	72		76
8	7	0	0	12/8	2	1	3/8		1/4	3/2		-2	58		91
8	7	0	0	12/8	1	1	1/8		1/8	1		2	74		84
8	7	1/8	1/8	12/8	1	1	1/8		1/8	1		0	72		85
8	7	1/4	1/4	12/8	1	1	1/8		1/8	1		-2	70		86
8	7	3/8	3/8	12/8	2	1	3/8		1/4	3/2		-2	46		92
8	7	3/8	3/8	12/8	1	1	1/8		1/8	1		-1	77		87
8	7	1/2	1/2	12/8	1	1	1/8		1/8	1		2	74		88
8	7	5/8	5/8	12/8	1	1	1/8		1/8	1		-2	70		89
8	7	3/4	3/4	12/8	1	1	1/8		1/8	1		-3	75		90
8	7	3/4	3/4	12/8	1	1	1/8		1/8	1		1	79		90
8	7	7/8	7/8	12/8	2	1	1/8		1/8	1		-2	58		93
8	7	1	1	12/8	2	1	1/8		1/8	1		-4	56		94
8	7	9/8	9/8	12/8	2	1	1/8		1/8	1		1	55		95
8	7	5/4	5/4	12/8	2	1	1/8		1/8	1		-1	53		96
8	7	11/8	11/8	12/8	2	1	1/8		1/8	1		-3	51		97
9	8	0	0	12/8	1	1	1/8		1/8	1		2	74		98
9	8	0	0	12/8	1	1	1/8		1/8	1		-1	77		98
9	8	1/8	1/8	12/8	2	1	1/8		1/8	1		-1	53		105
9	8	1/4	1/4	12/8	2	1	1/8		1/8	1		-3	51		106
9	8	3/8	3/8	12/8	2	1	1/8		1/8	1		2	50		107
9	8	1/2	1/2	12/8	2	1	1/8		1/8	1		0	48		108
9	8	5/8	5/8	12/8	2	1	1/8		1/8	1		-2	46		109
9	8	3/4	3/4	12/8	2	1	3/8		1/4	3/2		0	48		110
9	8	3/4	3/4	12/8	1	1	1/8		1/8	1		-3	75		99
9	8	7/8	7/8	12/8	1	1	1/8		1/8	1		2	74		100
9	8	1	1	12/8	1	1	1/8		1/8	1		0	72		101
9	8	9/8	9/8	12/8	2	1	3/8		1/4	3/2		3	45		111
9	8	9/8	9/8	12/8	1	1	1/8		1/8	1		1	79		102
9	8	5/4	5/4	12/8	1	1	1/8		1/8	1		-3	75		103
9	8	11/8	11/8	12/8	1	1	1/8		1/8	1		0	72		104
10	9	0	0	12/8	2	1	3/8		1/4	3/2		-2	46		124
10	9	0	0	12/8	1	1	1/8		1/8	1		2	74		112
10	9	1/8	1/8	12/8	1	1	1/8		1/8	1		-2	82		113
10	9	1/4	1/4	12/8	1	1	1/8		1/8	1		2	86		114
